,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
10,CH,2023-09-30,83.5,-2.94,5.96,"Blackmon, Charlie",453568,663978,,swinging_strike,,,,,5,"Charlie Blackmon lines out, pitcher Chris Paddack to shortstop Willi Castro to first baseman Alex Kirilloff.   Brenton Doyle to 3rd.",R,L,R,COL,MIN,S,,,2,0,2023,-1.22,0.36,0.16,2.55,,,686668.0,1,3,Bot,,,,,543877,,,9.664718516646667,-121.35231528816078,-2.1769183458524166,-13.846183418780637,21.91695253637463,-28.374952107469326,3.48,1.61,,,,84.9,2021.0,7.1,716368,663978,543877,666135,666397,456781,650489,670242,572191,596146,53.41,,,,,,,,27,3,Changeup,0,6,0,6,6,0,0,6,Infield shade,Standard,248.0,0.0,-0.072
11,FF,2023-09-30,94.2,-2.4,6.27,"Blackmon, Charlie",453568,663978,,ball,,,,,12,"Charlie Blackmon lines out, pitcher Chris Paddack to shortstop Willi Castro to first baseman Alex Kirilloff.   Brenton Doyle to 3rd.",R,L,R,COL,MIN,B,,,1,0,2023,-0.88,1.1,0.87,4.13,,,686668.0,1,3,Bot,,,,,543877,,,10.51495579574378,-136.9883250439549,-2.3748067299708144,-13.23609092246918,26.26099028672929,-17.894066694233388,3.49,1.72,,,,95.5,2320.0,6.8,716368,663978,543877,666135,666397,456781,650489,670242,572191,596146,53.74,,,,,,,,27,2,4-Seam Fastball,0,6,0,6,6,0,0,6,Infield shade,Standard,220.0,0.0,0.063
12,CH,2023-09-30,83.9,-2.86,5.92,"Blackmon, Charlie",453568,663978,,ball,,,,,12,"Charlie Blackmon lines out, pitcher Chris Paddack to shortstop Willi Castro to first baseman Alex Kirilloff.   Brenton Doyle to 3rd.",R,L,R,COL,MIN,B,,,0,0,2023,-1.17,0.4,0.88,2.58,,,686668.0,1,3,Bot,,,,,543877,,,11.013878057711628,-121.75859475600475,-2.155843358665156,-13.632311889494332,21.20666711920305,-27.90534286256093,3.48,1.63,,,,84.6,2009.0,6.7,716368,663978,543877,666135,666397,456781,650489,670242,572191,596146,53.84,,,,,,,,27,1,Changeup,0,6,0,6,6,0,0,6,Infield shade,Standard,248.0,0.0,0.042
13,FF,2023-09-30,97.7,-0.9,5.54,"Blackmon, Charlie",453568,643377,field_out,hit_into_play,,,,,12,"Charlie Blackmon grounds out, second baseman Edouard Julien to first baseman Alex Kirilloff.",R,L,R,COL,MIN,X,4.0,ground_ball,0,0,2023,-0.36,1.13,1.03,3.4,,553869.0,676701.0,2,5,Bot,137.36,151.54,,,543877,,,6.023454702281837,-142.27119001873575,-2.95642339414744,-6.11484288607302,28.653568316368546,-16.299460313741513,3.48,1.61,10.0,56.3,-17.0,98.5,2423.0,6.4,716368,643377,543877,666135,666397,456781,650489,670242,572191,596146,54.09,0.077,0.087,0.0,1.0,0.0,0.0,1.0,43,1,4-Seam Fastball,0,6,0,6,6,0,0,6,Strategic,Standard,214.0,-0.014,-0.472
14,FC,2023-09-30,87.5,-1.82,5.76,"Blackmon, Charlie",453568,641941,field_out,hit_into_play,,,,,4,Charlie Blackmon flies out to right fielder Max Kepler.,R,L,R,COL,MIN,X,9.0,fly_ball,2,2,2023,0.17,0.55,-0.31,2.72,,,,0,1,Bot,180.23,80.21,,,543877,,,3.3348381749390703,-127.7581756669264,-2.567689253569566,1.44527312722881,18.300591089135523,-25.74305387984948,3.48,1.61,323.0,94.8,46.0,89.5,2314.0,6.7,716368,641941,543877,666135,666397,456781,650489,670242,572191,596146,53.84,0.006,0.005,0.0,1.0,0.0,0.0,3.0,5,7,Cutter,0,0,0,0,0,0,0,0,Strategic,Standard,198.0,-0.021,-0.214
15,FS,2023-09-30,84.7,-1.73,5.69,"Blackmon, Charlie",453568,641941,,ball,,,,,14,Charlie Blackmon flies out to right fielder Max Kepler.,R,L,R,COL,MIN,B,,,1,2,2023,-0.92,0.46,1.67,0.37,,,,0,1,Bot,,,,,543877,,,9.85712607750784,-123.04330140573532,-7.138027956174047,-11.085563569548672,19.76517638196345,-26.386575521196708,3.41,1.61,,,,86.0,1531.0,6.8,716368,641941,543877,666135,666397,456781,650489,670242,572191,596146,53.71,,,,,,,,5,6,Split-Finger,0,0,0,0,0,0,0,0,Strategic,Standard,238.0,0.0,0.041
16,FS,2023-09-30,84.5,-1.72,5.82,"Blackmon, Charlie",453568,641941,,ball,,,,,13,Charlie Blackmon flies out to right fielder Max Kepler.,R,L,R,COL,MIN,B,,,0,2,2023,-1.02,0.58,-0.02,0.26,,,,0,1,Bot,,,,,543877,,,6.021192023430769,-122.8094438266393,-7.840219474878161,-11.45112883984471,20.939537360296296,-25.07221766111185,3.43,1.61,,,,85.3,1911.0,6.6,716368,641941,543877,666135,666397,456781,650489,670242,572191,596146,53.92,,,,,,,,5,5,Split-Finger,0,0,0,0,0,0,0,0,Strategic,Standard,232.0,0.0,0.022
17,FF,2023-09-30,96.1,-1.75,5.84,"Blackmon, Charlie",453568,641941,,foul,,,,,2,Charlie Blackmon flies out to right fielder Max Kepler.,R,L,R,COL,MIN,S,,,0,2,2023,-0.39,1.33,0.25,3.59,,,,0,1,Bot,,,,,543877,,,6.196034012699268,-139.9434332802076,-3.458160552916553,-6.437163420404942,29.02934669246341,-14.021643184851811,3.48,1.61,235.0,70.9,42.0,96.7,2580.0,6.4,716368,641941,543877,666135,666397,456781,650489,670242,572191,596146,54.09,,,,,,,,5,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,217.0,0.0,0.0
18,FF,2023-09-30,96.5,-1.81,5.82,"Blackmon, Charlie",453568,641941,,foul,,,,,12,Charlie Blackmon flies out to right fielder Max Kepler.,R,L,R,COL,MIN,S,,,0,2,2023,-0.45,1.14,0.11,3.78,,,,0,1,Bot,,,,,543877,,,6.141339943533218,-140.56026490838406,-2.507018380428245,-7.202663300789298,28.558424413817495,-16.6397734117279,3.48,1.61,,,,97.1,2517.0,6.3,716368,641941,543877,666135,666397,456781,650489,670242,572191,596146,54.18,,,,,,,,5,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,214.0,0.0,0.0
19,FF,2023-09-30,95.2,-1.78,5.87,"Blackmon, Charlie",453568,641941,,foul,,,,,7,Charlie Blackmon flies out to right fielder Max Kepler.,R,L,R,COL,MIN,S,,,0,1,2023,-0.63,1.29,-0.44,1.8,,,,0,1,Bot,,,,,543877,,,4.9419609798357405,-138.5619860899664,-8.032068378486198,-9.223032782346095,27.319317370741405,-13.95089077544638,3.48,1.61,224.0,73.0,47.0,95.9,2576.0,6.4,716368,641941,543877,666135,666397,456781,650489,670242,572191,596146,54.09,,,,,,,,5,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,213.0,0.0,-0.049
